trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
57,False,"{'a': 0.5, 'e': 0.3161449977179156}",25,0,20.654131215348595,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
58,False,"{'a': 0.5, 'e': 0.3098220977635573}",20,0,10.430805938260043,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
59,False,"{'a': 0.5, 'e': 0.30362565580828615}",20,0,27.77643875700416,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
60,False,"{'a': 0.5, 'e': 0.2975531426921204}",20,13,-9.83737884535935,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
61,False,"{'a': 0.5, 'e': 0.291602079838278}",25,8,11.56756365481823,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
62,False,"{'a': 0.5, 'e': 0.2857700382415124}",30,2,23.777577972514745,"{0: 26, 1: 1, 2: 1, 3: 0, 4: 0}",1
63,False,"{'a': 0.5, 'e': 0.2800546374766822}",30,13,-38.22237569353587,"{0: 14, 1: 1, 2: 0, 3: 1, 4: 1}",1
64,False,"{'a': 0.5, 'e': 0.27445354472714856}",25,11,17.504659164604572,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.2689644738326056}",20,0,-48.97993404554478,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
66,False,"{'a': 0.5, 'e': 0.26358518435595346}",20,4,-51.9653960645157,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 1}",1
67,False,"{'a': 0.5, 'e': 0.25831348066883436}",25,7,8.335535912667904,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
68,False,"{'a': 0.5, 'e': 0.2531472110554577}",25,17,6.1032748255335125,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.5, 'e': 0.24808426683434853}",30,0,20.563561436918928,"{0: 27, 1: 2, 2: 1, 3: 0, 4: 0}",0
70,False,"{'a': 0.5, 'e': 0.24312258149766156}",25,7,12.73351142045291,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
71,False,"{'a': 0.5, 'e': 0.2382601298677083}",20,3,24.202797303086207,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.5, 'e': 0.23349492727035415}",25,3,-15.590711962336972,"{0: 18, 1: 0, 2: 4, 3: 0, 4: 0}",1
73,False,"{'a': 0.5, 'e': 0.22882502872494706}",30,0,-13.819012789582976,"{0: 25, 1: 2, 2: 2, 3: 1, 4: 0}",0
74,False,"{'a': 0.5, 'e': 0.22424852815044813}",25,10,17.663927785662516,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
